bird_id;name;sex;generation;hatching_date;raising_type;status;parent_f;parent_f_id;parent_m;parent_m_id;population;breeding_area;missed_since;delivered_or_death_date;mortality_cause;mortality_verified
205;Albinia;f;F1;2017-06-01;parent;dead;Salem;17;Semir;24;wild population;Burghausen;2019-10-07;2019-12-07;unknown;unverified
206;Ikarus;m;F1;2017-06-01;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;2018-02-27;2018-04-27;unknown;unverified
207;Waldemar;f;F1;2017-06-03;parent;alive;Zeudi;25;Saba;22;wild population;allocation;;;;
208;Tiffi;m;F1;2017-06-05;parent;alive;Zeudi;25;Saba;22;wild population;allocation;;;;
209;Silie;m;F1;2017-06-07;parent;dead;Peter;47;Liethe;38;wild population;Burghausen;2017-08-04;2017-10-04;unknown;unverified
210;Findus;f;F1;2017-06-08;parent;dead;Peter;47;Liethe;38;wild population;Burghausen;;2017-09-17;electrocution;verified
211;Rowdie;m;F0;2018-04-15;foster parent;dead;Ariel;n.a.;José;99067;wild population;Ueberlingen;;2019-01-06;unknown;verified
212;Sensai;m;F0;2018-04-15;foster parent;alive;Nemo;n.a.;Mundel;n.a.;wild population;Ueberlingen;;;;
213;Gipsy;f;F0;2018-04-15;foster parent;alive;Baluh;n.a.;Lucky;n.a.;wild population;Ueberlingen;;;;
215;Cip;f;F0;2018-04-16;foster parent;dead;Phoenix;n.a.;Diesel;n.a.;wild population;Ueberlingen;;2019-01-24;unknown;verified
216;Coranne;m;F0;2018-04-16;foster parent;dead;Don;n.a.;Agadir;n.a.;wild population;Ueberlingen;;2019-01-22;unknown;verified
217;Akuma;m;F0;2018-04-16;foster parent;alive;Meldos;n.a.;Baerli;n.a.;wild population;Ueberlingen;;;;
218;Ciop;m;F0;2018-04-16;foster parent;alive;Pela;n.a.;Ollie;n.a.;wild population;Ueberlingen;;;;
219;Drogo;f;F0;2018-04-19;foster parent;dead;Twister;n.a.;Nero 1;n.a.;wild population;Ueberlingen;;2019-01-18;unknown;verified
220;Rambo;f;F0;2018-04-17;foster parent;dead;Ariel;n.a.;José;99067;wild population;Ueberlingen;;2019-01-24;unknown;verified
221;Poggi;f;F0;2018-04-17;foster parent;dead;Nemo;n.a.;Mundel;n.a.;wild population;Ueberlingen;;2019-01-24;unknown;verified
222;Gringo;f;F0;2018-04-17;foster parent;alive;Don;n.a.;Agadir;n.a.;wild population;Ueberlingen;;;;
223;Grobi;m;F0;2018-04-17;foster parent;dead;Pebbles;n.a.;Benu;n.a.;wild population;Ueberlingen;;2019-01-24;unknown;verified
224;Draghetto;m;F0;2018-04-18;foster parent;dead;Phoenix;n.a.;Diesel;n.a.;wild population;Ueberlingen;;2019-02-20;injury/illness;verified
225;Bernardo;m;F0;2018-04-18;foster parent;alive;Raki;n.a.;Lenus;n.a.;wild population;Ueberlingen;;;;
227;Afra;f;F0;2018-04-18;foster parent;alive;Twister;n.a.;Nero 1;n.a.;wild population;Ueberlingen;;;;
228;Bonsi;f;F0;2018-04-20;foster parent;alive;Meldos;n.a.;Baerli;n.a.;wild population;Ueberlingen;;;;
229;Grisu;f;F0;2018-04-20;foster parent;dead;Pela;n.a.;Ollie;n.a.;wild population;Ueberlingen;;2019-01-24;unknown;verified
230;Oskar;m;F0;2018-04-20;foster parent;alive;Hazel;n.a.;Rusty;n.a.;wild population;Ueberlingen;;;;
231;Arya;m;F0;2018-04-20;foster parent;dead;Ria;n.a.;Triton;n.a.;wild population;Ueberlingen;;2019-01-22;unknown;verified
232;Sky;f;F0;2018-04-23;foster parent;alive;Hazel;n.a.;Rusty;n.a.;wild population;Ueberlingen;;;;
233;Enea;m;F0;2018-04-23;foster parent;alive;Ria;n.a.;Triton;n.a.;wild population;Ueberlingen;;;;
234;Fuchur;m;F0;2018-04-23;foster parent;dead;Raider;n.a.;Guiseppe;n.a.;wild population;Ueberlingen;;2019-01-12;unknown;verified
235;Mowgli;m;F0;2018-04-23;foster parent;alive;Sequioia;n.a.;Simon;n.a.;wild population;Ueberlingen;;;;
236;Alfredo;m;F0;2018-04-24;foster parent;alive;Gismo;n.a.;Zaza;n.a.;wild population;Ueberlingen;;;;
238;Mulan;f;F0;2018-04-25;foster parent;dead;Sequioia;n.a.;Simon;n.a.;wild population;Ueberlingen;;2019-09-22;unknown;verified
240;Fridolin;m;F0;2018-04-26;foster parent;dead;Ria;n.a.;Triton;n.a.;wild population;Ueberlingen;;2019-01-09;unknown;verified
241;Paride;m;F0;2018-04-26;foster parent;alive;Gimli;n.a.;Flipp;99014;wild population;Ueberlingen;;;;
242;Smaug;m;F0;2018-04-26;foster parent;alive;Sherlock 1;n.a.;Schurli;99010;wild population;Ueberlingen;;;;
243;Montalcino;f;F0;2018-04-26;foster parent;alive;Mokka;n.a.;Ozzy;n.a.;wild population;Ueberlingen;;;;
244;Lorenz;m;F2;2018-05-11;parent;dead;Luna;32;Jazu;20;wild population;Burghausen;;2018-07-21;electrocution;verified
245;Adele;f;F2;2018-05-12;parent;alive;Luna;32;Jazu;20;wild population;Burghausen;;;;
